idx,text,tokens,labels
40,茉莉蜜茶,"['茉莉', '蜜茶']",['原材料|风味']
41,蜜桃甘露,"['蜜桃', '甘露']",['风味|材料']
42,羊杂米粉,"['羊', '杂', '米', '粉']",['材料|材料|材料|形式']
43,豆角茄子,"['豆角', '茄子']",['材料|材料']
44,黑芝麻包,"['黑芝麻', '包']",['材料|形式']
45,鲜虾片,"['鲜虾', '片']",['材料|形式']
46,雪红果,"['雪红', '果']",['其他|材料']
47,北冰洋,['北冰洋'],['品牌']
48,白切鸭饭,"['白切', '鸭饭']",['工艺|形式']
49,红烧牛肉饭,"['红烧', '牛肉', '饭']",['工艺|材料|形式']
50,兰花干子,"['兰花', '干子']",['材料|材料']
51,招牌鸭心,"['招牌', '鸭心']",['其他|材料']
52,鲜虾堡,"['鲜虾', '堡']",['材料|形式']
53,椰椰冰萃,"['椰椰', '冰萃']",['品牌|其他']
54,汤团,['汤团'],['汤团是元宵节的传统美食，主要由糯米粉制成，内馅通常为豆沙、芝麻等。以下是制作汤团的简单步骤：\n\n1. **准备材料**：\n   - 糯米粉\n   - 温水\n   - 内馅（如豆沙、芝麻等）\n\n2. **和面**：\n   - 将糯米粉倒入大碗中，逐渐加入温水，边加边搅拌。\n   - 揉成光滑的面团。\n\n3. **包馅**：\n   - 将面团分成小剂子，搓圆。\n   - 用拇指在剂子中间按出一个小坑，放入适量内馅。\n   - 将口收紧，搓圆。\n\n4. **煮汤团**：\n   - 锅中加水烧开，放入汤团。\n   - 等水再次沸腾后，轻轻搅拌，防止粘锅。\n   - 待汤团浮起，即可捞出。\n\n5. **食用**：\n   - 可以直接食用，也可以搭配红糖水或芝麻酱。\n\n希望你喜欢这道传统美食！']
55,杂粮馒头,"['杂粮', '馒头']",['材料|形式']
56,大鱿鱼串,"['大', '鱿鱼', '串']",['其他|材料|形式']
57,现烤蛋挞,"['现烤', '蛋挞']",['工艺|材料']
58,青椒鸡,"['青椒', '鸡']",['材料|材料']
59,葱爆羊肉盖浇面,"['葱爆', '羊肉', '盖浇面']",['工艺|材料|形式']
60,牛肉火勺,"['牛肉', '火勺']",['材料|工艺']
61,王中王,['王中王'],['品牌']
62,蒜蓉虾,"['蒜蓉', '虾']",['风味|材料']
63,新疆手抓饭,"['新疆', '手抓饭']",['地名|形式']
64,卤豆皮,"['卤', '豆皮']",['卤|豆皮\n工艺|材料']
65,生烤鸡头,"['生烤', '鸡头']",['工艺|材料']
66,原味可颂,"['原味', '可颂']",['风味|形式']
67,杂鱼一锅鲜,"['杂鱼', '一锅鲜']",['材料|其他']
68,椰子鸡,"['椰子', '鸡']",['材料|材料']
69,鲅鱼,"['鲅', '鱼']",['材料|材料']
70,酱汁臭豆腐,"['酱汁', '臭豆腐']",['工艺|材料']
71,真梅醉绿茶,"['真梅', '醉绿', '茶']",['品牌|风味|其他']
72,炝莲白,"['炝', '莲白']",['炝|莲白的分类是：工艺|材料。']
73,培根煎蛋堡,"['培根', '煎蛋', '堡']",['材料|工艺|形式']
74,松仁小肚,"['松仁', '小肚']",['材料|材料']
75,火腿三明治,"['火腿', '三明治']",['材料|形式']
76,桑葚,['桑葚'],['材料']
77,鸡脖子,"['鸡', '脖子']",['材料|其他']
78,牛奶鸭血,"['牛奶', '鸭血']",['材料|材料']
79,拌三丝,"['拌', '三丝']",['工艺|材料']
80,牛油果椰椰,"['牛油果', '椰椰']",['材料|材料']
81,直播虾球尝鲜装,"['直播', '虾球', '尝鲜装']",['其他|材料|其他']
82,洋葱,"['洋葱', '']",['材料']
83,菠萝炒饭,"['菠萝', '炒饭']",['材料|形式']
84,碟鱼头,"['碟', '鱼头']",['碟|鱼头的分类是：工艺|材料。']
85,超级芝士脆,"['超级', '芝士', '脆']",['其他|材料|形式']
86,香酥鸡翅根,"['香酥', '鸡翅根']",['工艺|材料']
87,大薯,['大薯'],['材料']
88,番茄沙司,"['番茄', '沙司']",['材料|材料']
89,银鱼炒蛋,"['银鱼', '炒蛋']",['材料|工艺']
90,卤鸭架,"['卤', '鸭架']",['工艺|材料']
91,里脊肉饼,"['里脊', '肉饼']",['材料|形式']
92,杂酱米线,"['杂酱', '米线']",['风味|形式']
93,打糕,['打糕'],['材料']
94,广东菜心,"['广', '东', '菜', '心']",['地名|地名|形式|材料']
95,云南生椰拿铁,"['云南', '生椰', '拿铁']",['地名|其他|形式']
96,鸡蛋捞面,"['鸡蛋', '捞面']",['材料|形式']
97,香辣跳跳蛙,"['香辣', '跳跳蛙']",['风味|材料']
98,山城毛血旺,"['山城', '毛血旺']",['地名|材料']
99,大葱猪肉,"['大葱', '猪肉']",['材料|材料']
100,烤豆角,"['烤', '豆角']",['烤|豆角\n工艺|材料']
101,蜜汁排骨,"['蜜汁', '排骨']",['风味|材料']
102,鸡蛋肠粉,"['鸡蛋', '肠粉']",['材料|形式']
103,老汤面,"['老汤', '面']",['工艺|形式']
104,鲜切马尾,"['鲜切', '马尾']",['工艺|材料']
105,偶遇酒,"['偶遇', '酒']",['其他|材料']
106,海虾,"['海', '虾']",['材料|材料']
107,冷萃咖啡,"['冷萃', '咖啡']",['工艺|材料']
108,浆水面,"['浆水', '面']",['工艺|形式']
109,宝石葡萄燕麦奶昔,"['宝石', '葡萄', '燕麦', '奶昔']",['其他|其他|材料|形式']
110,肉沫米粉,"['肉沫', '米粉']",['材料|材料']
111,招牌锅贴,"['招牌', '锅贴']",['其他|形式']
112,牛肉烧饼,"['牛肉', '烧饼']",['材料|形式']
113,牛里脊,"['牛', '里脊']",['材料|材料']
114,手撕椒麻鸡,"['手撕', '椒麻', '鸡']",['工艺|风味|材料']
115,香辣烤鱼,"['香辣', '烤鱼']",['风味|材料']
116,饺子皮,"['饺子', '皮']",['材料|形式']
117,蔬菜汤,"['蔬菜', '汤']",['材料|形式']
118,爆一脖鸭架,"['爆一脖', '鸭架']",['工艺|材料']
119,偷心西梅拿铁,"['偷心', '西梅', '拿铁']",['其他|材料|形式']
120,生日蛋糕,"['生日', '蛋糕']",['其他|形式']
121,白菜鲜肉水饺,"['白菜', '鲜肉', '水饺']",['材料|材料|形式']
122,拌米粉,"['拌', '米粉']",['拌|米粉的分类是：工艺|形式。']
123,红心火龙果,"['红心', '火龙果']",['原材料|材料']
124,星巴克黑糖冰震浓缩,"['星巴克', '黑糖', '冰震', '浓缩']",['品牌|其他|工艺|材料']
125,时菜,"['时', '菜']",['其他|形式']
126,星空葡萄,"['星空', '葡萄']",['其他|材料']
127,秘制猪蹄,"['秘制', '猪蹄']",['秘制|猪蹄\n工艺|材料']
128,巧克力千层,"['巧克力', '千层']",['材料|形式']
129,凉拌豆腐皮,"['凉拌', '豆腐皮']",['工艺|材料']
130,云岭茉莉白,"['云岭', '茉莉白']",['地名|材料']
131,宇治抹茶,"['宇治', '抹茶']",['地名|材料']
132,铁板鸭肠,"['铁板', '鸭肠']",['工艺|材料']
133,雪花芝士炸鸡,"['雪花', '芝士', '炸鸡']",['雪花|芝士|炸鸡的分类是：品牌|材料|工艺。']
134,芋圆烧仙草,"['芋圆', '烧仙草']",['材料|材料']
135,牛腩,['牛腩'],['材料']
136,三文鱼鱼腩,"['三文鱼', '鱼腩']",['材料|其他']
137,特色酸辣粉,"['特色', '酸辣粉']",['其他|材料']
138,鸭胸肉,['鸭胸肉'],['材料']
139,鲜烤羊肉串,"['鲜烤', '羊肉串']",['工艺|材料']
140,蒜苔炒肉丝,"['蒜苔', '炒', '肉丝']",['材料|工艺|材料']
141,老醋六样,"['老醋', '六样']",['风味|材料']
142,招牌柠檬水,"['招牌', '柠檬水']",['招牌|柠檬水\n品牌|其他']
143,提拉米苏风味大福,"['提拉米苏', '风味', '大福']",['其他|其他|其他']
144,咸鸡,"['咸', '鸡']",['风味|材料']
145,甘源蜂蜜琥珀核桃仁,"['甘源', '蜂蜜', '琥珀', '核桃仁']",['品牌|其他|其他|材料']
146,凉拌秋葵,"['凉拌', '秋葵']",['工艺|材料']
147,肉肠粉,"['肉', '肠粉']",['材料|形式']
148,草原羔羊肉,"['草原', '羔羊', '肉']",['地名|材料|其他']
149,锅圈食汇乌鸡肉卷,"['锅圈', '食汇', '乌鸡', '肉卷']",['品牌|其他|材料|形式']
150,虾球,['虾球'],['材料']
151,清蒸鲫鱼,"['清蒸', '鲫鱼']",['工艺|材料']
152,葡萄肉多多,"['葡萄', '肉多多']",['其他|材料']
153,醋肉,"['醋', '肉']",['醋|肉的分类如下：\n\n1. **醋**：属于调味料，用于增添菜肴的味道和酸味。在分类中，它不属于上述提到的主要类别（如材料、形式等），因此归类为“其他”。\n\n2. **肉**：是菜肴的主要原材料之一，直接提供主要食材来源。\n\n因此，分类结果为：\n\n其他|材料']
154,炸辣椒,"['炸', '辣椒']",['炸|辣椒的分类是：工艺|材料。']
155,花枝丸子,"['花枝', '丸子']",['材料|材料']
156,烤牛蛙,"['烤', '牛蛙']",['工艺|材料']
157,鱿鱼花,"['鱿鱼', '花']",['材料|形式']
158,枸杞猪杂汤,"['枸杞', '猪杂', '汤']",['材料|材料|形式']
159,日式小圆饼,"['日式', '小圆饼']",['地名|形式']
160,炒番薯叶,"['炒', '番薯叶']",['工艺|材料']
161,扣肉饭,"['扣肉', '饭']",['工艺|形式']
162,鲜肉生煎,"['鲜肉', '生煎']",['材料|形式']
163,原味牛肉,"['原味', '牛肉']",['风味|材料']
164,山楂片,"['山楂', '片']",['材料|形式']
165,欧式培根,"['欧式', '培根']",['工艺|材料']
166,米麻薯乌龙奶,"['米麻薯', '乌龙奶']",['其他|其他']
167,吮指原味鸡套ok餐,"['吮指', '原味', '鸡套', 'ok', '餐']",['其他|其他|材料|其他|形式']
168,牛蹄,['牛蹄'],['材料']
169,两堡一卷,"['两', '堡', '一', '卷']",['其他|形式|其他|形式']
170,烧味拼盘,"['烧味', '拼盘']",['工艺|形式']
171,午餐肉,"['午餐', '肉']",['工艺|材料']
172,鸭胗片,"['鸭胗', '片']",['材料|形式']
173,酸辣土豆丝盖浇饭,"['酸辣', '土豆丝', '盖浇饭']",['风味|材料|形式']
174,铁板日本豆腐,"['铁板', '日本', '豆腐']",['工艺|地名|材料']
175,牛肉汉堡,"['牛肉', '汉堡']",['材料|形式']
176,五香酱牛肉,"['五香', '酱牛肉']",['工艺|材料']
177,关东煮,"['关东', '煮']",['地名|形式']
178,煎饺,"['煎', '饺']",['煎|饺\n工艺|形式']
179,满杯鲜柚,"['满杯', '鲜柚']",['其他|材料']
180,甜烧白,['甜烧白'],['材料']
181,五花肉串,"['五花肉', '串']",['材料|形式']
182,枣花酥,"['枣花', '酥']",['风味|形式']
183,干豆皮,"['干', '豆皮']",['工艺|材料']
184,鸡排大亨,"['鸡排', '大亨']",['材料|品牌']
185,清炒菜苔,"['清炒', '菜苔']",['工艺|材料']
186,白切鸭,"['白切', '鸭']",['工艺|材料']
187,刺身,['刺身'],['形式']
188,肉夹馍,"['肉夹', '馍']",['工艺|材料']
189,特浓豆浆,"['特浓', '豆浆']",['风味|材料']
190,抹茶,['抹茶'],['其他']
191,牛宝,"['牛', '宝']",['材料|品牌']
192,金桂龙井冰冰茶,"['金桂', '龙井', '冰冰茶']",['原材料|原材料|形式']
193,双椒兔,"['双', '椒', '兔']",['工艺|材料|材料']
194,香辣面,"['香辣', '面']",['风味|形式']
195,菜花,['菜花'],['材料']
196,屠宰场鲜毛肚,"['屠宰场', '鲜毛肚']",['工艺|材料']
197,人参鸡汤,"['人参', '鸡汤']",['材料|形式']
198,豆腐泡,"['豆腐', '泡']",['材料|工艺']
199,杂粮煎饼,"['杂粮', '煎饼']",['材料|工艺']
200,熊猫拿铁兑换券,"['熊猫', '拿铁', '兑换券']",['品牌|其他|其他']
201,伯牙绝弦,"['伯牙', '绝弦']",['其他|其他']
202,招牌凤爪,"['招牌', '凤爪']",['招牌|凤爪\n\n分类：品牌|材料']
203,铁板牛仔骨,"['铁板', '牛仔骨']",['工艺|材料']
204,藤椒鸭翅中,"['藤椒', '鸭翅中']",['工艺|材料']
205,石榴,['石榴'],['材料']
206,烤吐司,"['烤', '吐司']",['工艺|材料']
207,现蒸芋泥米麻薯,"['现蒸', '芋泥', '米麻薯']",['工艺|材料|材料']
208,可可甜酒奶茶,"['可可', '甜酒', '奶茶']",['原材料|材料|形式']
209,芒果慕斯,"['芒果', '慕斯']",['材料|形式']
210,炒莴笋,"['炒', '莴笋']",['工艺|材料']
211,相思双皮奶,"['相思', '双皮奶']",['其他|材料']
212,桂子飘飘,"['桂子', '飘飘']",['其他|其他']
213,皮蛋肉饼汤,"['皮蛋', '肉饼', '汤']",['材料|材料|形式']
214,锅圈食汇中式大菜,"['锅圈', '食汇', '中式', '大菜']",['品牌|品牌|形式|形式']
215,洋芋粑粑,"['洋芋', '粑粑']",['材料|形式']
216,鲜肉蒸饺,"['鲜肉', '蒸饺']",['材料|工艺']
217,香菇炖鸡面,"['香菇', '炖鸡面']",['材料|工艺|形式']
218,雪花勇闯天涯,"['雪花', '勇闯天涯']",['雪花|勇闯天涯\n品牌|品牌']
219,草莓卷,"['草莓', '卷']",['材料|形式']
220,蕨根粉,"['蕨根', '粉']",['材料|材料']
221,仙草冻,"['仙草', '冻']",['其他|形式']
222,泰式奶绿,"['泰式', '奶绿']",['风味|材料']
223,雪王大圣代,"['雪王', '大圣代']",['品牌|其他']
224,手工鸡排,"['手工', '鸡排']",['工艺|材料']
225,年糕,"['年', '糕']",['其他|材料']
226,红毛丹,['红毛丹'],['其他']
227,炒白菜,"['炒', '白菜']",['工艺|材料']
228,蒜香法棍,"['蒜香', '法棍']",['风味|形式']
229,青椒小炒肉,"['青椒', '小炒肉']",['材料|工艺']
230,阿华田可可拿铁,"['阿华田', '可可', '拿铁']",['品牌|其他|形式']
231,招牌猕宗绿果,"['招牌', '猕宗', '绿果']",['其他|品牌|材料']
232,爆汁大翅根,"['爆汁', '大翅根']",['工艺|材料']
233,沙棘胶原摇摇冻,"['沙棘', '胶原', '摇摇冻']",['材料|材料|其他']
234,卤香鸭脖,"['卤香', '鸭脖']",['风味|材料']
235,方竹笋,"['方竹', '笋']",['材料|材料']
236,椰椰拿铁,"['椰椰', '拿铁']",['品牌|其他']
237,香辣鸡翅/2块,"['香辣', '鸡翅', '2块']",['风味|材料|其他']
238,烤肉筋,"['烤肉', '筋']",['工艺|材料']
239,好大水果茶,"['好大', '水果茶']",['其他|形式']
240,东北大油边,"['东北', '大油边']",['地名|材料']
241,粉柠柚柚茶云乌龙,"['粉柠', '柚柚', '茶云', '乌龙']",['其他|其他|品牌|形式']
242,红烧鳗鱼,"['红烧', '鳗鱼']",['工艺|材料']
243,大溪地香草巴旦木拿铁,"['大溪地', '香草', '巴旦木', '拿铁']",['地名|其他|材料|形式']
244,竹笋尖,"['竹', '笋', '尖']",['材料|材料|其他']
245,双球冰淇淋莓莓,"['双球', '冰淇淋', '莓莓']",['品牌|其他|材料']
246,椒盐排骨,"['椒盐', '排骨']",['工艺|材料']
247,经典老式麻辣烫,"['经典', '老式', '麻辣烫']",['经典|老式|麻辣烫的分类如下：\n\n1. 经典 - 风味\n2. 老式 - 风味\n3. 麻辣烫 - 形式\n\n因此，最终的分类结果为：风味|风味|形式。']
248,千层豆腐,"['千层', '豆腐']",['工艺|材料']
249,干丝,"['干', '丝']",['工艺|材料']
250,芝芝金凤茶王,"['芝芝', '金凤', '茶王']",['其他|其他|其他']
251,鲜豆腐皮,"['鲜', '豆腐皮']",['其他|材料']
252,费尔岛拿铁,"['费尔岛', '拿铁']",['品牌|其他']
253,锡纸娃娃菜,"['锡纸', '娃娃菜']",['工艺|材料']
254,轻芒芒甘露,"['轻芒', '芒甘露']",['品牌|材料']
255,山药瘦肉粥,"['山药', '瘦肉', '粥']",['材料|材料|形式']
256,冰拧可乐,"['冰', '拧', '可乐']",['其他|其他|形式']
257,冰博客拿铁,"['冰博客', '拿铁']",['品牌|形式']
258,烤尖椒,"['烤', '尖椒']",['烤|尖椒的分类是：工艺|材料。']
259,腰花肠,"['腰花', '肠']",['材料|材料']
260,正新鸭肉串,"['正新', '鸭肉串']",['品牌|材料']
261,无花果,"['无花', '果']",['其他|材料']
262,挪威三文鱼,"['挪威', '三文鱼']",['地名|材料']
263,草莓大福,"['草莓', '大福']",['材料|形式']
264,芋泥布丁,"['芋泥', '布丁']",['材料|材料']
265,海盐芝士厚乳拿铁,"['海盐', '芝士', '厚乳', '拿铁']",['原材料|原材料|原材料|形式']
266,酸汤面,"['酸汤', '面']",['风味|形式']
267,现切鲜牛肉,"['现切', '鲜牛肉']",['工艺|材料']
268,肥牛片,"['肥牛', '片']",['材料|形式']
269,月桂天香牛奶茶,"['月桂', '天香', '牛奶茶']",['其他|其他|形式']
270,五花肉片,"['五花肉', '片']",['材料|形式']
271,羊肉丸,"['羊肉', '丸']",['材料|形式']
272,经典肉夹馍,"['经典', '肉夹馍']",['其他|形式']
273,冰美式,"['冰', '美式']",['其他|形式']
274,凉拌鸡架,"['凉拌', '鸡架']",['工艺|材料']
275,苦瓜煎蛋,"['苦瓜', '煎蛋']",['材料|工艺']
276,手工牛肉饼,"['手工', '牛肉饼']",['工艺|材料']
277,烤鱼丸,"['烤鱼', '丸']",['工艺|材料']
278,冰绿豆汤,"['冰', '绿豆', '汤']",['工艺|材料|形式']
279,豆腐包,"['豆腐', '包']",['材料|形式']
280,燕饺,['燕饺'],['其他']
281,超嗲胶原桃桃,"['超嗲', '胶原', '桃桃']",['其他|其他|材料']
282,甘草话梅,"['甘草', '话梅']",['原材料|材料']
283,红烧牛肉盖浇面,"['红烧', '牛肉', '盖浇面']",['工艺|材料|形式']
284,葡萄柚益菌多,"['葡萄柚', '益菌多']",['材料|其他']
285,香芋丸子,"['香芋', '丸子']",['风味|材料']
286,卤鸭脖,"['卤', '鸭脖']",['工艺|材料']
287,土豆丝鸡蛋饼,"['土豆丝', '鸡蛋饼']",['材料|材料']
288,智利车厘子,"['智利', '车厘子']",['地名|材料']
289,香辣千叶豆腐,"['香辣', '千叶', '豆腐']",['风味|材料|材料']
290,酸菜鸭血,"['酸菜', '鸭血']",['风味|材料']
291,酸菜米线,"['酸菜', '米线']",['风味|形式']
292,甜辣鸭锁骨,"['甜辣', '鸭锁骨']",['风味|材料']
293,脆皮茄子,"['脆皮', '茄子']",['工艺|材料']
294,梅见330毫升,"['梅见', '330', '毫升']",['品牌|其他|其他']
295,黑椒牛柳饭,"['黑椒', '牛柳饭']",['工艺|材料']
296,牛油果奶昔,"['牛油果', '奶昔']",['材料|形式']
297,华华馋嘴小食拼盘盒,"['华华', '馋嘴', '小食', '拼盘盒']",['其他|其他|其他|形式']
298,招牌窑鸡,"['招牌', '窑鸡']",['招牌|窑鸡的分类是：品牌|材料。']
299,锁鲜鸭翅,"['锁鲜', '鸭翅']",['锁鲜|鸭翅\n工艺|材料']
300,骨汤番茄肥牛拉面,"['骨汤', '番茄', '肥牛', '拉面']",['工艺|材料|材料|形式']
301,香菇鲜肉,"['香菇', '鲜肉']",['材料|材料']
302,新鲜羊肉,"['新鲜', '羊肉']",['其他|材料']
303,精品千层肚,"['精品', '千层肚']",['其他|材料']
304,烤面包,"['烤', '面包']",['工艺|材料']
305,肥肠炒面,"['肥肠', '炒面']",['材料|形式']
306,酸菜,['酸菜'],['材料']
307,清水龙虾,"['清水', '龙虾']",['工艺|材料']
308,油菜,['油菜'],['材料']
309,大刀牛肉,"['大刀', '牛肉']",['工艺|材料']
310,贡菜牛肉,"['贡菜', '牛肉']",['材料|材料']
311,牛骨头面,"['牛骨', '头面']",['材料|形式']
312,清蒸虾,"['清蒸', '虾']",['工艺|材料']
313,烤玉米,"['烤', '玉米']",['烤|玉米\n工艺|材料']
314,红烧肉盖饭,"['红烧肉', '盖饭']",['工艺|形式']
315,鸭血汤,"['鸭血', '汤']",['材料|形式']
316,擂辣椒皮蛋,"['擂辣椒', '皮蛋']",['工艺|材料']
317,白雪公主,"['白雪', '公主']",['其他|其他']
318,手撕面筋,"['手撕', '面筋']",['工艺|材料']
319,锡纸花甲粉丝,"['锡纸', '花甲', '粉丝']",['工艺|材料|材料']
320,香酥虾,"['香酥', '虾']",['工艺|材料']
321,双杯樱花小铁,"['双杯', '樱花', '小铁']",['其他|其他|形式']
322,干锅牛蛙,"['干锅', '牛蛙']",['工艺|材料']
323,传统锅包肉,"['传统', '锅包肉']",['工艺|材料']
324,川辣嫩牛卷,"['川辣', '嫩牛卷']",['风味|材料']
325,原味蛋挞,"['原味', '蛋挞']",['风味|材料']
326,现榨西瓜汁,"['现榨', '西瓜汁']",['现榨|西瓜汁\n工艺|材料']
327,八宝饭,"['八宝', '饭']",['工艺|形式']
328,鸡蛋瘦肉肠,"['鸡蛋', '瘦肉肠']",['材料|材料']
329,秋葵,['秋葵'],['材料']
330,焖鹅,"['焖', '鹅']",['焖|鹅\n工艺|材料']
331,葡式蛋挞兑换券,"['葡式', '蛋挞', '兑换券']",['风味|材料|其他']
332,香菇串,"['香菇', '串']",['材料|形式']
333,瀑布芝士2.0汁汁厚作和牛堡,"['瀑布', '芝士', '2.0', '汁汁', '厚作', '和牛堡']",['其他|材料|其他|其他|其他|形式']
334,一口肠,"['一', '口', '肠']",['其他|其他|材料']
335,三鲜焖子,"['三鲜', '焖子']",['风味|材料']
336,辣油包,"['辣油', '包']",['风味|形式']
337,香蕉奶昔,"['香蕉', '奶昔']",['材料|形式']
338,冲绳黑糖丝绒拿铁,"['冲绳', '黑糖', '丝绒', '拿铁']",['地名|材料|其他|形式']
339,经典苏丹王榴莲披萨,"['经典', '苏丹王', '榴莲', '披萨']",['其他|品牌|材料|形式']
340,香菇青菜,"['香菇', '青菜']",['材料|材料']
341,干煸茶树菇,"['干煸', '茶树菇']",['工艺|材料']
342,黑森林,"['黑', '森林']",['其他|形式']
343,肉蓉面,"['肉', '蓉', '面']",['材料|材料|形式']
344,石锅拌饭,"['石锅', '拌饭']",['工艺|形式']
345,鲜血旺,"['鲜血', '旺']",['风味|形式']
346,五香腐竹,"['五香', '腐竹']",['五香|腐竹\n风味|材料']
347,银鱼水蒸蛋,"['银鱼', '水蒸蛋']",['材料|工艺']
348,满杯百香果大圣代,"['满杯', '百香果', '大圣代']",['其他|材料|形式']
349,苦瓜冰柠茶,"['苦瓜', '冰柠茶']",['材料|其他']
350,粉丝包菜,"['粉丝', '包菜']",['材料|材料']
351,榴莲生椰拿铁,"['榴莲', '生椰', '拿铁']",['材料|材料|形式']
352,肉蟹煲,"['肉', '蟹', '煲']",['材料|材料|形式']
353,炒米面,"['炒', '米面']",['工艺|形式']
354,金汤蒜泥龙虾,"['金汤', '蒜泥', '龙虾']",['工艺|风味|材料']
355,焦糖玛奇朵饮品,"['焦糖', '玛奇朵', '饮品']",['风味|其他|形式']
356,金沙咸蛋黄云朵蛋挞兑换券,"['金沙', '咸蛋黄', '云朵', '蛋挞兑换券']",['其他|材料|其他|其他']
357,油爆虾,"['油爆', '虾']",['工艺|材料']
358,羊肉抓饭,"['羊肉', '抓饭']",['材料|形式']
359,葱鸡串,"['葱', '鸡', '串']",['材料|材料|形式']
360,鳕鱼金砖,"['鳕鱼', '金砖']",['材料|形式']
361,双汇王中王,"['双汇', '王中王']",['品牌|其他']
362,酥肉米线,"['酥肉', '米线']",['材料|形式']
363,招牌肉,"['招牌', '肉']",['其他|材料']
364,桂花美式,"['桂花', '美式']",['风味|形式']
365,鸳鸯番茄锅,"['鸳鸯', '番茄锅']",['风味|形式']
366,卤猪耳,"['卤', '猪耳']",['工艺|材料']
367,金沙咸蛋黄培根披萨,"['金沙', '咸蛋黄', '培根', '披萨']",['其他|材料|材料|形式']
368,旺仔牛奶罐装,"['旺仔', '牛奶', '罐装']",['品牌|其他|形式']
369,红油锅,"['红油', '锅']",['风味|形式']
370,超级大瓜,"['超级', '大瓜']",['其他|材料']
371,炒苋菜,"['炒', '苋菜']",['工艺|材料']
372,黑椒鸡腿肉,"['黑椒', '鸡腿肉']",['工艺|材料']
373,钉螺,"['钉', '螺']",['其他|材料']
374,清汤杂酱面,"['清汤', '杂酱面']",['工艺|形式']
375,醉蟹钳,"['醉', '蟹钳']",['醉|蟹钳的分类是：工艺|材料。']
376,蒸饭,"['蒸', '饭']",['蒸|饭\n工艺|形式']
377,干锅有机菜花,"['干锅', '有机', '菜花']",['工艺|其他|材料']
378,巧克力软心糯曲奇,"['巧克力', '软心', '糯曲奇']",['其他|其他|形式']
379,猪手螺蛳粉,"['猪手', '螺蛳粉']",['材料|形式']
380,薄切五花肉,"['薄切', '五花肉']",['工艺|材料']
381,江米条,"['江米', '条']",['材料|形式']
382,农家小炒肉盖浇饭,"['农家', '小炒', '肉盖浇饭']",['其他|工艺|形式']
383,红枣银耳汤,"['红枣', '银耳', '汤']",['材料|材料|形式']
384,脆皮烧肉,"['脆皮', '烧肉']",['工艺|材料']
385,经典美式热狗,"['经典', '美式', '热狗']",['其他|其他|形式']
386,锁鲜鸭翅根,"['锁鲜', '鸭翅根']",['锁鲜|鸭翅根\n工艺|材料']
387,香菇贡丸子,"['香菇', '贡丸子']",['材料|材料']
