idx,text,tokens
199,杂粮煎饼,['杂粮|煎饼']
200,熊猫拿铁兑换券,['熊猫|拿铁|兑换券']
201,伯牙绝弦,['伯牙|绝弦']
202,招牌凤爪,['招牌|凤爪']
203,铁板牛仔骨,['铁板|牛仔骨']
204,藤椒鸭翅中,['藤椒|鸭翅中']
205,石榴,['石榴']
206,烤吐司,['烤|吐司']
207,现蒸芋泥米麻薯,['现蒸|芋泥|米麻薯']
208,可可甜酒奶茶,['可可|甜酒|奶茶']
209,芒果慕斯,['芒果|慕斯']
210,炒莴笋,['炒|莴笋']
211,相思双皮奶,['相思|双皮奶']
212,桂子飘飘,['桂子|飘飘']
213,皮蛋肉饼汤,['皮蛋|肉饼|汤']
214,锅圈食汇中式大菜,['锅圈|食汇|中式|大菜']
215,洋芋粑粑,['洋芋|粑粑']
216,鲜肉蒸饺,['鲜肉|蒸饺']
217,香菇炖鸡面,['香菇|炖鸡面']
218,雪花勇闯天涯,['雪花|勇闯天涯']
219,草莓卷,['草莓|卷']
220,蕨根粉,['蕨根|粉']
221,仙草冻,['仙草|冻']
222,泰式奶绿,['泰式|奶绿']
223,雪王大圣代,['雪王|大圣代']
224,手工鸡排,['手工|鸡排']
225,年糕,['年|糕']
226,红毛丹,['红毛丹']
227,炒白菜,['炒|白菜']
228,蒜香法棍,['蒜香|法棍']
229,青椒小炒肉,['青椒|小炒肉']
230,阿华田可可拿铁,['阿华田|可可|拿铁']
231,招牌猕宗绿果,['招牌|猕宗|绿果']
232,爆汁大翅根,['爆汁|大翅根']
233,沙棘胶原摇摇冻,['沙棘|胶原|摇摇冻']
234,卤香鸭脖,['卤香|鸭脖']
235,方竹笋,['方竹|笋']
236,椰椰拿铁,['椰椰|拿铁']
237,香辣鸡翅/2块,['香辣|鸡翅|2块']
238,烤肉筋,['烤肉|筋']
239,好大水果茶,['好大|水果茶']
240,东北大油边,['东北|大油边']
241,粉柠柚柚茶云乌龙,['粉柠|柚柚|茶云|乌龙']
242,红烧鳗鱼,['红烧|鳗鱼']
243,大溪地香草巴旦木拿铁,['大溪地|香草|巴旦木|拿铁']
244,竹笋尖,['竹|笋|尖']
245,双球冰淇淋莓莓,['双球|冰淇淋|莓莓']
246,椒盐排骨,['椒盐|排骨']
247,经典老式麻辣烫,['经典|老式|麻辣烫']
248,千层豆腐,['千层|豆腐']
249,干丝,['干|丝']
250,芝芝金凤茶王,['芝芝|金凤|茶王']
251,鲜豆腐皮,['鲜|豆腐皮']
252,费尔岛拿铁,['费尔岛|拿铁']
253,锡纸娃娃菜,['锡纸|娃娃菜']
254,轻芒芒甘露,['轻芒|芒甘露']
255,山药瘦肉粥,['山药|瘦肉|粥']
256,冰拧可乐,['冰|拧|可乐']
257,冰博客拿铁,['冰博客|拿铁']
258,烤尖椒,['烤|尖椒']
259,腰花肠,['腰花|肠']
260,正新鸭肉串,['正新|鸭肉串']
261,无花果,['无花|果']
262,挪威三文鱼,['挪威|三文鱼']
263,草莓大福,['草莓|大福']
264,芋泥布丁,['芋泥|布丁']
265,海盐芝士厚乳拿铁,['海盐|芝士|厚乳|拿铁']
266,酸汤面,['酸汤|面']
267,现切鲜牛肉,['现切|鲜牛肉']
268,肥牛片,['肥牛|片']
269,月桂天香牛奶茶,['月桂|天香|牛奶茶']
270,五花肉片,['五花肉|片']
271,羊肉丸,['羊肉|丸']
272,经典肉夹馍,['经典|肉夹馍']
273,冰美式,['冰|美式']
274,凉拌鸡架,['凉拌|鸡架']
275,苦瓜煎蛋,['苦瓜|煎蛋']
276,手工牛肉饼,['手工|牛肉饼']
277,烤鱼丸,['烤鱼|丸']
278,冰绿豆汤,['冰|绿豆|汤']
279,豆腐包,['豆腐|包']
280,燕饺,['燕饺']
281,超嗲胶原桃桃,['超嗲|胶原|桃桃']
282,甘草话梅,['甘草|话梅']
283,红烧牛肉盖浇面,['红烧|牛肉|盖浇面']
284,葡萄柚益菌多,['葡萄柚|益菌多']
285,香芋丸子,['香芋|丸子']
286,卤鸭脖,['卤|鸭脖']
287,土豆丝鸡蛋饼,['土豆丝|鸡蛋饼']
288,智利车厘子,['智利|车厘子']
289,香辣千叶豆腐,['香辣|千叶|豆腐']
290,酸菜鸭血,['酸菜|鸭血']
291,酸菜米线,['酸菜|米线']
292,甜辣鸭锁骨,['甜辣|鸭锁骨']
293,脆皮茄子,['脆皮|茄子']
294,梅见330毫升,['梅见|330|毫升']
295,黑椒牛柳饭,['黑椒|牛柳饭']
296,牛油果奶昔,['牛油果|奶昔']
297,华华馋嘴小食拼盘盒,['华华|馋嘴|小食|拼盘盒']
298,招牌窑鸡,['招牌|窑鸡']
299,锁鲜鸭翅,['锁鲜|鸭翅']
300,骨汤番茄肥牛拉面,['骨汤|番茄|肥牛|拉面']
301,香菇鲜肉,['香菇|鲜肉']
302,新鲜羊肉,['新鲜|羊肉']
303,精品千层肚,['精品|千层肚']
304,烤面包,['烤|面包']
305,肥肠炒面,['肥肠|炒面']
306,酸菜,['酸菜']
307,清水龙虾,['清水|龙虾']
308,油菜,['油菜']
309,大刀牛肉,['大刀|牛肉']
310,贡菜牛肉,['贡菜|牛肉']
311,牛骨头面,['牛骨|头面']
312,清蒸虾,['清蒸|虾']
313,烤玉米,['烤|玉米']
314,红烧肉盖饭,['红烧肉|盖饭']
315,鸭血汤,['鸭血|汤']
316,擂辣椒皮蛋,['擂辣椒|皮蛋']
317,白雪公主,['白雪|公主']
318,手撕面筋,['手撕|面筋']
319,锡纸花甲粉丝,['锡纸|花甲|粉丝']
320,香酥虾,['香酥|虾']
321,双杯樱花小铁,['双杯|樱花|小铁']
322,干锅牛蛙,['干锅|牛蛙']
323,传统锅包肉,['传统|锅包肉']
324,川辣嫩牛卷,['川辣|嫩牛卷']
325,原味蛋挞,['原味|蛋挞']
326,现榨西瓜汁,['现榨|西瓜汁']
327,八宝饭,['八宝|饭']
328,鸡蛋瘦肉肠,['鸡蛋|瘦肉肠']
329,秋葵,['秋葵']
330,焖鹅,['焖|鹅']
331,葡式蛋挞兑换券,['葡式|蛋挞|兑换券']
332,香菇串,['香菇|串']
333,瀑布芝士2.0汁汁厚作和牛堡,['瀑布|芝士|2.0|汁汁|厚作|和牛堡']
334,一口肠,['一|口|肠']
335,三鲜焖子,['三鲜|焖子']
336,辣油包,['辣油|包']
337,香蕉奶昔,['香蕉|奶昔']
338,冲绳黑糖丝绒拿铁,['冲绳|黑糖|丝绒|拿铁']
339,经典苏丹王榴莲披萨,['经典|苏丹王|榴莲|披萨']
340,香菇青菜,['香菇|青菜']
341,干煸茶树菇,['干煸|茶树菇']
342,黑森林,['黑|森林']
343,肉蓉面,['肉|蓉|面']
344,石锅拌饭,['石锅|拌饭']
345,鲜血旺,['鲜血|旺']
346,五香腐竹,['五香|腐竹']
347,银鱼水蒸蛋,['银鱼|水蒸蛋']
348,满杯百香果大圣代,['满杯|百香果|大圣代']
349,苦瓜冰柠茶,['苦瓜|冰柠茶']
350,粉丝包菜,['粉丝|包菜']
351,榴莲生椰拿铁,['榴莲|生椰|拿铁']
352,肉蟹煲,['肉|蟹|煲']
353,炒米面,['炒|米面']
354,金汤蒜泥龙虾,['金汤|蒜泥|龙虾']
355,焦糖玛奇朵饮品,['焦糖|玛奇朵|饮品']
356,金沙咸蛋黄云朵蛋挞兑换券,['金沙|咸蛋黄|云朵|蛋挞兑换券']
357,油爆虾,['油爆|虾']
358,羊肉抓饭,['羊肉|抓饭']
359,葱鸡串,['葱|鸡|串']
360,鳕鱼金砖,['鳕鱼|金砖']
361,双汇王中王,['双汇|王中王']
362,酥肉米线,['酥肉|米线']
363,招牌肉,['招牌|肉']
364,桂花美式,['桂花|美式']
365,鸳鸯番茄锅,['鸳鸯|番茄锅']
366,卤猪耳,['卤|猪耳']
367,金沙咸蛋黄培根披萨,['金沙|咸蛋黄|培根|披萨']
368,旺仔牛奶罐装,['旺仔|牛奶|罐装']
369,红油锅,['红油|锅']
370,超级大瓜,['超级|大瓜']
371,炒苋菜,['炒|苋菜']
372,黑椒鸡腿肉,['黑椒|鸡腿肉']
373,钉螺,['钉|螺']
374,清汤杂酱面,['清汤|杂酱面']
375,醉蟹钳,['醉|蟹钳']
376,蒸饭,['蒸|饭']
377,干锅有机菜花,['干锅|有机|菜花']
378,巧克力软心糯曲奇,['巧克力|软心|糯曲奇']
379,猪手螺蛳粉,['猪手|螺蛳粉']
380,薄切五花肉,['薄切|五花肉']
381,江米条,['江米|条']
382,农家小炒肉盖浇饭,['农家|小炒|肉盖浇饭']
383,红枣银耳汤,['红枣|银耳|汤']
384,脆皮烧肉,['脆皮|烧肉']
385,经典美式热狗,['经典|美式|热狗']
386,锁鲜鸭翅根,['锁鲜|鸭翅根']
387,香菇贡丸子,['香菇|贡丸子']
388,香菇滑鸡煲仔饭,['香菇|滑鸡|煲仔饭']
389,烤鸡脚,['烤|鸡脚']
390,大饼,['大|饼']
391,泡萝卜,['泡|萝卜']
392,冰镇小龙虾,['冰镇|小龙虾']
393,芝士草莓大福,['芝士|草莓|大福']
394,流汁宽粉,['流汁|宽粉']
395,水晶虾饺,['水晶|虾饺']
396,干锅牛腩,['干锅|牛腩']
397,烤冷面,['烤|冷面']
398,大葱水饺,['大葱|水饺']
399,油柑美式,['油柑|美式']
400,田螺肉,['田螺|肉']
401,锅巴土豆,['锅巴|土豆']
402,豆瓣鱼,['豆瓣|鱼']
403,鸡蛋凉面,['鸡蛋|凉面']
404,白灼对虾,['白灼|对虾']
405,玉米龙骨汤,['玉米|龙骨汤']
406,江南白桃脆脆卷,['江南|白桃|脆脆卷']
407,丰收菜,['丰收|菜']
408,扁食汤,['扁食|汤']
409,康师傅绿茶,['康师傅|绿茶']
410,青拼,['青|拼']
411,烤素鸡,['烤|素鸡']
412,小麻花,['小|麻花']
413,牛肉火烧,['牛肉|火烧']
414,草莓冰淇淋,['草莓|冰淇淋']
415,无骨凤爪,['无骨|凤爪']
416,蔬菜米线,['蔬菜|米线']
417,冰粉,['冰粉']
418,炸馄饨,['炸|馄饨']
419,牛肉丸面,['牛肉|丸面']
420,猪五花,['猪|五花']
421,蒜蓉豆皮,['蒜蓉|豆皮']
422,红薯粥,['红薯|粥']
423,腊肠螺蛳粉,['腊肠|螺蛳粉']
424,炖羊肉,['炖|羊肉']
425,芭比娃娃蛋糕,['芭比|娃娃|蛋糕']
426,麻辣猪蹄,['麻辣|猪蹄']
427,青桔冰柠茶,['青桔|冰柠茶']
428,龙井奶芙,['龙井|奶芙']
429,招牌鸡公煲,['招牌|鸡公|煲']
430,绿妍轻柠茶,['绿妍|轻柠茶']
431,精品五花,['精品|五花']
432,轻轻茉莉,['轻轻|茉莉']
433,卷煎,['卷|煎']
434,咖啡冻奶茶遇冰沙,['咖啡|冻|奶茶|遇|冰沙']
435,卤虾,['卤|虾']
436,奥利奥咸奶油蛋糕,['奥利奥|咸|奶油|蛋糕']
437,鸿运当头山楂蛋糕,['鸿运|当头|山楂|蛋糕']
438,招牌土豆,['招牌|土豆']
439,莓莓拿铁咖啡,['莓莓|拿铁|咖啡']
440,烤卤鸭脖,['烤卤|鸭脖']
441,牛肉馅饼,['牛肉|馅饼']
442,照烧风味牛肉土豆比萨,['照烧|风味|牛肉|土豆|比萨']
443,鲜鸭肠,['鲜|鸭肠']
444,暴富蛋糕,['暴富|蛋糕']
445,桑葚全家福,['桑葚|全家福']
446,红柳羊肉串,['红柳|羊肉串']
447,霸气西瓜,['霸气|西瓜']
448,黄焖小酥肉,['黄焖|小酥肉']
449,太妃臻香厚乳拿铁,['太妃|臻香|厚乳|拿铁']
450,锅边馍,['锅边|馍']
451,豆包,['豆|包']
452,番茄牛肉米线,['番茄|牛肉|米线']
453,牛黄喉,['牛黄|喉']
454,猪肉韭菜水饺,['猪肉|韭菜|水饺']
455,烧鹅腿,['烧鹅|腿']
456,招牌烤鸡,['招牌|烤鸡']
457,藤椒脱骨爆一爪,['藤椒|脱骨|爆一爪']
458,炸大头菜,['炸|大头菜']
459,牛杂锅仔,['牛杂|锅仔']
460,粉爱草莓甜心蛋糕,['粉爱|草莓|甜心|蛋糕']
461,毛毛虫面包,['毛毛虫|面包']
462,火山石纯肉肠,['火山|石|纯肉肠']
463,小炒牛肉,['小炒|牛肉']
464,猪肠粉,['肠粉|粉']
465,翅尖,['翅尖']
466,生椰爱摩卡,['生椰|爱摩卡']
467,鸡肉片,['鸡肉|片']
468,鲜榨玉米汁,['鲜榨|玉米汁']
469,厚料奶茶,['厚料|奶茶']
470,培根,['培根']
471,芝士香栗栗,['芝士|香栗栗']
472,芋儿粉,['芋儿|粉']
473,卤香莲藕片,['卤香|莲藕片']
474,椒盐皮皮虾,['椒盐|皮皮虾']
475,五香瓜子,['五香|瓜子']
476,香酥鸡锁骨,['香酥|鸡锁骨']
477,猪脏粉,['猪|脏|粉']
478,雪顶咖啡,['雪顶|咖啡']
479,特色小吃,['特色|小吃']
480,太安鱼,['太安|鱼']
481,葡萄瑞纳冰,['葡萄|瑞纳冰']
482,软糯香芋瑞士卷,['软糯|香芋|瑞士卷']
483,豆豉,['豆豉']
484,酸辣藕丁,['酸辣|藕丁']
485,红烧日本豆腐,['红烧|日本|豆腐']
486,酱油炒饭,['酱油|炒饭']
487,指定现磨咖啡,['指定|现磨|咖啡']
488,豌豆黄,['豌豆|黄']
489,番茄鸡蛋,['番茄|鸡蛋']
490,开心鸡排,['开心|鸡排']
491,铁板猪杂,['铁板|猪杂']
492,鸭腿炒饭,['鸭腿|炒饭']
493,木耳炒牛肉盖浇面,['木耳|炒|牛肉|盖浇面']
494,芹菜粉,['芹菜|粉']
495,魔芋结,['魔芋|结']
496,红薯干,['红薯|干']
497,蜜意茉茉生酪拿铁,['蜜意|茉茉|生酪|拿铁']
498,全明星炸鸡桶,['全明星|炸鸡桶']
499,牛舌,['牛舌']
500,苹果c美式,['苹果|c|美式']
501,农家小炒,['农家|小炒']
502,猪肉茴香,['猪肉|茴香']
503,罗非鱼,['罗非鱼']
504,小笼包,['小笼|包']
505,吊烧鸡,['吊烧|鸡']
506,黄金鱼蛋,['黄金|鱼蛋']
507,发糕,['发|糕']
508,上汤菜心,['上汤|菜心']
509,泰椒土豆丝,['泰椒|土豆丝']
510,鱼肠煎蛋,['鱼肠|煎蛋']
511,双杯热红丝绒雪酪茶拿铁,['双杯|热红|丝绒|雪酪|茶拿铁']
512,酸菜炒牛肉,['酸菜|炒|牛肉']
513,鸡中翅,['鸡中翅']
514,蒜泥豇豆,['蒜泥|豇豆']
515,雪恋芝士蛋糕,['雪恋|芝士|蛋糕']
516,猪肚汤,['猪肚|汤']
517,酿苦瓜,['酿|苦瓜']
518,木耳肉丝,['木耳|肉丝']
519,烤鹅,['烤鹅']
520,蒜泥龙虾,['蒜泥|龙虾']
521,烧肉,['烧肉']
522,小小辣肉脯,['小小|辣|肉脯']
523,无限鸭脖,['无限|鸭脖']
524,卡美罗焦糖拿铁,['卡美罗|焦糖|拿铁']
525,牛肉罩饼,['牛肉|罩饼']
526,烤鸭酱,['烤鸭|酱']
527,豆油皮,['豆|油皮']
528,烧腐竹,['烧|腐竹']
529,莓莓麻薯,['莓莓|麻薯']
530,干煸牛肉,['干煸|牛肉']
531,凉拌粉,['凉拌|粉']
532,炒拉条,['炒|拉条']
533,青椒紫苏蛙,['青椒|紫苏|蛙']
534,炒青菜,['炒|青菜']
535,青鱼,['青鱼']
536,百香果奇亚籽茶云,['百香果|奇亚籽|茶云']
537,火腿炒饭,['火腿|炒饭']
538,蒜蓉炒时蔬,['蒜蓉|炒|时蔬']
539,蟹棒,['蟹|棒']
540,景田天然泉水,['景田|天然|泉水']
541,爆爆珠,['爆爆|珠']
542,鱼头豆腐汤,['鱼头|豆腐汤']
543,燒賣,['燒賣']
544,一碗香,['一碗|香']
545,凉拌莲藕片,['凉拌|莲藕片']
546,葱花面,['葱花|面']
547,咖喱鸡肉饭,['咖喱|鸡肉|饭']
548,五香鸡蛋,['五香|鸡蛋']
549,黑椒肥牛,['黑椒|肥牛']
550,拉丝芝士棒,['拉丝|芝士棒']
551,鸭脚螺蛳粉,['鸭脚|螺蛳粉']
552,素拍黄瓜,['素|拍黄瓜']
553,辣子,['辣子']
554,胃动力,['胃|动力']
555,小菜拼盘,['小菜|拼盘']
556,蘑菇炒肉盖浇面,['蘑菇|炒肉|盖浇面']
557,椰果奶茶,['椰果|奶茶']
558,鳝鱼,['鳝|鱼']
559,霸霸双拼奶茶,['霸霸|双拼|奶茶']
560,白饼,['白饼']
561,猪肉水饺,['猪肉|水饺']
562,小米粥,['小米|粥']
563,清炒四季豆,['清炒|四季豆']
564,手作鸡蛋布蕾,['手作|鸡蛋|布蕾']
565,牛肚丝,['牛肚|丝']
566,实蛋,['实蛋']
567,鳗鱼,['鳗鱼']
568,黄金炸蛋,['黄金|炸蛋']
569,五香鸭腿,['五香|鸭腿']
570,韭菜肉水饺,['韭菜|肉|水饺']
571,大茄子,['大|茄子']
572,盐水花生,['盐水|花生']
573,碎肉粉,['碎肉|粉']
574,干锅千页豆腐,['干锅|千页|豆腐']
575,现蒸超厚芋泥奶绿,['现蒸|超厚|芋泥|奶绿']
576,多肉草莓金砖,['多肉|草莓|金砖']
577,光明纯牛奶,['光明|纯牛奶']
578,羊蝎子,['羊|蝎子']
579,咸蛋黄流心酥饼装兑换券,['咸蛋黄|流心|酥饼|装兑换券']
580,奶油泡芙,['奶油|泡芙']
581,来吃鸭风味鸭脖,['来|吃|鸭|风味|鸭脖']
582,生椰拿铁冰淇淋,['生椰|拿铁|冰淇淋']
583,哈啤,['哈|啤']
584,金雕鱼刺身,['金雕|鱼刺身']
585,象拔蚌,['象拔|蚌']
586,孜然牛肉炒饭,['孜然|牛肉|炒饭']
587,猪杂粉,['猪杂|粉']
588,红枣茶,['红枣|茶']
589,金桔柠檬,['金桔|柠檬']
590,白灼罗氏虾,['白灼|罗氏虾']
591,牛油果汁,['牛油|果汁']
592,红烧牛肉米粉,['红烧|牛肉|米粉']
593,豆腐面,['豆腐|面']
594,伟伟小店全羊牺汤,['伟伟|小店|全羊|牺汤']
595,酒,['酒']
596,喜柿多多,['喜柿|多多']
597,鸡肉,['鸡肉|']
598,豆蔻,['豆蔻']
599,纯生啤酒,['纯生|啤酒']
600,爆炒花甲,['爆炒|花甲']
601,虫草花乌鸡汤,['虫草花|乌鸡|汤']
602,芋头糕,['芋头|糕']
603,肉末粉丝,['肉末|粉丝']
604,五香兔头,['五香|兔头']
605,芬达,['芬达']
606,芥末虾仁球,['芥末|虾仁球']
607,小红花花生奶茶,['小红花|花生|奶茶']
608,海鲜卤面,['海鲜|卤面']
609,虎皮鸭掌,['虎皮|鸭掌']
610,椒盐掌中宝,['椒盐|掌中宝']
611,炒羊肉,['炒|羊肉']
612,鱼籽鱼泡,['鱼籽|鱼泡']
613,炸酱拌面,['炸酱|拌面']
614,法式奶霜茗茶,['法式|奶霜|茗茶']
615,柠檬季x冰鲜柠檬水,['柠檬季|x|冰鲜|柠檬水']
616,师尊荷花酥兑换券,['师尊|荷花酥|兑换券']
617,鲜榨芒果汁,['鲜榨|芒果汁']
618,素炒饼,['素炒|饼']
619,泡椒肉丝,['泡椒|肉丝']
